state,district,category,type,date,crimes,sex,age,ethnicity,population
Malaysia,All,assault,all,2016,22327,,,,
Malaysia,All,assault,all,2017,21366,,,,
Malaysia,All,assault,all,2018,16902,,,,
Malaysia,All,assault,all,2019,16489,,,,
Malaysia,All,assault,all,2020,13279,,,,
Malaysia,All,assault,all,2021,11495,,,,
Malaysia,All,assault,all,2022,10348,,,,
Malaysia,All,assault,causing_injury,2016,5531,,,,
Malaysia,All,assault,causing_injury,2017,5024,,,,
Malaysia,All,assault,causing_injury,2018,4660,,,,
Malaysia,All,assault,causing_injury,2019,4712,,,,
Malaysia,All,assault,causing_injury,2020,4118,,,,
Malaysia,All,assault,causing_injury,2021,4063,,,,
Malaysia,All,assault,causing_injury,2022,3807,,,,
Malaysia,All,assault,murder,2016,456,,,,
Malaysia,All,assault,murder,2017,379,,,,
Malaysia,All,assault,murder,2018,323,,,,
Malaysia,All,assault,murder,2019,310,,,,
Malaysia,All,assault,murder,2020,253,,,,
Malaysia,All,assault,murder,2021,243,,,,
Malaysia,All,assault,murder,2022,240,,,,
Malaysia,All,assault,rape,2016,1886,,,,
Malaysia,All,assault,rape,2017,1835,,,,
Malaysia,All,assault,rape,2018,1648,,,,
Malaysia,All,assault,rape,2019,1738,,,,
Malaysia,All,assault,rape,2020,1582,,,,
Malaysia,All,assault,rape,2021,1553,,,,
Malaysia,All,assault,rape,2022,1712,,,,
Malaysia,All,assault,robbery_gang_armed,2016,65,,,,
Malaysia,All,assault,robbery_gang_armed,2017,31,,,,
Malaysia,All,assault,robbery_gang_armed,2018,31,,,,
Malaysia,All,assault,robbery_gang_armed,2019,21,,,,
Malaysia,All,assault,robbery_gang_armed,2020,6,,,,
Malaysia,All,assault,robbery_gang_armed,2021,5,,,,
Malaysia,All,assault,robbery_gang_armed,2022,16,,,,
Malaysia,All,assault,robbery_gang_unarmed,2016,10907,,,,
Malaysia,All,assault,robbery_gang_unarmed,2017,9779,,,,
Malaysia,All,assault,robbery_gang_unarmed,2018,6543,,,,
Malaysia,All,assault,robbery_gang_unarmed,2019,6058,,,,
Malaysia,All,assault,robbery_gang_unarmed,2020,2992,,,,
Malaysia,All,assault,robbery_gang_unarmed,2021,3071,,,,
Malaysia,All,assault,robbery_gang_unarmed,2022,2432,,,,
Malaysia,All,assault,robbery_solo_armed,2016,19,,,,
Malaysia,All,assault,robbery_solo_armed,2017,3,,,,
Malaysia,All,assault,robbery_solo_armed,2018,9,,,,
Malaysia,All,assault,robbery_solo_armed,2019,9,,,,
Malaysia,All,assault,robbery_solo_armed,2020,5,,,,
Malaysia,All,assault,robbery_solo_armed,2021,2,,,,
Malaysia,All,assault,robbery_solo_armed,2022,7,,,,
Malaysia,All,assault,robbery_solo_unarmed,2016,3463,,,,
Malaysia,All,assault,robbery_solo_unarmed,2017,4315,,,,
Malaysia,All,assault,robbery_solo_unarmed,2018,3688,,,,
Malaysia,All,assault,robbery_solo_unarmed,2019,3641,,,,
Malaysia,All,assault,robbery_solo_unarmed,2020,4323,,,,
Malaysia,All,assault,robbery_solo_unarmed,2021,2558,,,,
Malaysia,All,assault,robbery_solo_unarmed,2022,2134,,,,
Malaysia,All,property,all,2016,90028,,,,
Malaysia,All,property,all,2017,77804,,,,
Malaysia,All,property,all,2018,71760,,,,
Malaysia,All,property,all,2019,66967,,,,
Malaysia,All,property,all,2020,52344,,,,
Malaysia,All,property,all,2021,41479,,,,
Malaysia,All,property,all,2022,40465,,,,
